Station.Name,Station.Id,State.Code,State.Name,Network.Code,Network.Name,Elevation,Latitude,Longitude,County.Name,County.Code,Start.Date,End.Date,PMW_Longitude,PMW_Latitude,distance,PMW_lat_lon
Sourdough Gulch,985,WA,WASHINGTON,SNTL,SNOTEL,4000,46.23718,-117.39438,Asotin,3,7/1/2000,1/1/2100,-117.36526,46.25972,0.036824258,46.25972_-117.36526
South Fork Bull Run,925,OR,OREGON,SNTL,SNOTEL,2690,45.44575,-122.03125,Clackamas,5,9/18/1997,1/1/2100,-122.03882,45.46201,0.017935788,45.46201_-122.03882
South Mtn.,774,ID,IDAHO,SNTL,SNOTEL,6500,42.76478,-116.90037,Owyhee,73,10/1/1978,1/1/2100,-116.90449,42.74982,0.015516958,42.74982_-116.90449
Spruce Springs,984,WA,WASHINGTON,SNTL,SNOTEL,5700,46.18287,-117.54155,Garfield,23,7/1/2000,1/1/2100,-117.56273,46.20654,0.031762577,46.20654_-117.56273
Squaw Flat,782,ID,IDAHO,SNTL,SNOTEL,6240,44.77091,-116.24805,Adams,3,10/1/1979,1/1/2100,-116.24624,44.77067,0.001825842,44.77067_-116.24624
Swamp Creek,975,WA,WASHINGTON,SNTL,SNOTEL,3930,48.57142,-120.78267,Skagit,57,10/1/1999,1/1/2100,-120.78815,48.54647,0.025544724,48.54647_-120.78815
Taylor Green,812,OR,OREGON,SNTL,SNOTEL,5740,45.07707,-117.55067,Baker,1,10/1/1978,1/1/2100,-117.56273,45.08975,0.017499314,45.08975_-117.56273
Tipton,821,OR,OREGON,SNTL,SNOTEL,5150,44.65567,-118.42617,Baker,1,10/1/1978,1/1/2100,-118.41846,44.66431,0.011579883,44.66431_-118.41846
Touchet,824,WA,WASHINGTON,SNTL,SNOTEL,5530,46.11868,-117.8505,Columbia,13,10/1/1979,1/1/2100,-117.82603,46.10018,0.030676227,46.10018_-117.82603
Trinity Mtn.,830,ID,IDAHO,SNTL,SNOTEL,7770,43.62903,-115.43818,Elmore,39,10/1/1978,1/1/2100,-115.45634,43.65389,0.030786445,43.65389_-115.45634
Trough,832,WA,WASHINGTON,SNTL,SNOTEL,5480,47.23328,-120.29412,Kittitas,37,10/1/1978,1/1/2100,-120.26155,47.21696,0.036430033,47.21696_-120.26155
Upper Wheeler,841,WA,WASHINGTON,SNTL,SNOTEL,4330,47.28734,-120.37015,Chelan,7,10/1/1979,1/1/2100,-120.3932,47.27014,0.028760085,47.27014_-120.3932
Van Wyck,979,ID,IDAHO,SNTL,SNOTEL,4920,44.37665,-116.3366,Washington,87,10/1/2000,1/1/2100,-116.31206,44.39841,0.032798006,44.39841_-116.31206
Vienna Mine,845,ID,IDAHO,SNTL,SNOTEL,8960,43.79942,-114.85273,Blaine,13,10/1/1978,1/1/2100,-114.86392,43.81343,0.017930315,43.81343_-114.86392
Waterhole,974,WA,WASHINGTON,SNTL,SNOTEL,5010,47.94485,-123.42594,Clallam,9,9/30/1999,1/1/2100,-123.42115,47.96148,0.017306097,47.96148_-123.42115
Wells Creek,909,WA,WASHINGTON,SNTL,SNOTEL,4030,48.8661,-121.78976,Whatcom,73,8/24/1995,1/1/2100,-121.77552,48.86555,0.014250618,48.86555_-121.77552
White Elephant,860,ID,IDAHO,SNTL,SNOTEL,7710,44.53267,-111.41085,Fremont,43,10/1/1979,1/1/2100,-111.44102,44.55795,0.039361241,44.55795_-111.44102
